full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
"Oct 29, 2019
""Great Company""
Current Employee - Personal Banker 
I have been working at Wells Fargo full-time for more than 5 years
Pros
benefits, 401k matching, great benefits,
Cons
difficulty moving up within the company
Helpful",Tue Oct 29 2019 23:28:55 GMT-0600 (Mountain Daylight Time), Personal Banker,,Current Employee ,Great Company,4.0,,,,,
"Oct 30, 2019
""Home Mortgage Consultant""
Former Employee - Home Mortgage Consultant in Seattle, WA
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Wells Fargo full-time for more than a year
Pros
Nice 401K matching. Work life balance is what you make of it, and so is how much you make. You can work yourself to death and make a lot, or be chill and make just enough to live on.
Cons
Big company, so big bureaucracy. Too many annoying meetings.
Helpful",Wed Oct 30 2019 08:53:40 GMT-0600 (Mountain Daylight Time), Home Mortgage Consultant,"Seattle, WA",Former Employee ,Home Mortgage Consultant,4.0,5.0,4.0,4.0,3.0,4.0
"Oct 28, 2019
""Personal Banker full time""
Former Employee - Anonymous Employee in Boca Raton, FL
Recommends
I worked at Wells Fargo full-time for more than a year
Pros
Provided great training which lasted almost 1 month. loved working hours.. great benefits... 
different branch had different kind of employees and Manager too... i loved switching in other stores to have new experiences... It was my 1 st job that i applied in USA so i loved everything about Wells...
Cons
Pushing is happening everywhere, so i don't know if it counts as a downside... :)
Advice to Management
Managers has to be more loyal to their employees...
Helpful",Mon Oct 28 2019 21:10:44 GMT-0600 (Mountain Daylight Time),,"Boca Raton, FL",Former Employee ,Personal Banker full time,5.0,5.0,5.0,5.0,5.0,5.0
"Oct 28, 2019
""Decent""
Human Resources Specialist in Phoenix, AZ
Recommends
Neutral Outlook
No opinion of CEO
I have been working at Wells Fargo
Pros
Friendly environment, management is approachable, career development.
Cons
Pay should be more
More time off
Helpful",Mon Oct 28 2019 13:05:39 GMT-0600 (Mountain Daylight Time),,"Phoenix, AZ","Human Resources Specialist in Phoenix, AZ",Decent,4.0,,,,,
"Oct 29, 2019
""Auto Loan Document Specialist 3""
Current Employee - Anonymous Employee in Chandler, AZ
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than a year
Pros
Job is easy, decent pay, overtime, good benefits and room for growth.
Cons
Health insurance isn't all that great and the pay could be better. I transferred over from another department, I was lucky so I was able to transfer the pay and make more than my colleagues
Advice to Management
Increase the starting wage. Most of my colleagues are struggling to pay their bills.
Helpful",Tue Oct 29 2019 06:50:11 GMT-0600 (Mountain Daylight Time),,"Chandler, AZ",Current Employee ,Auto Loan Document Specialist 3,4.0,5.0,5.0,5.0,4.0,5.0
"Oct 27, 2019
""Operations Analyst""
Current Employee - Anonymous Employee in Charlotte, NC
Recommends
Positive Outlook
No opinion of CEO
I have been working at Wells Fargo full-time for less than a year
Pros
Very good management. Work life balance is a priority and there is room for both work and personal time of needed.
Cons
Company is growing in Prime Brokerage Business. There are a lot of legacy processes that need to be fine tuned to meet or surpass competition. However it is a great growth opportunity.
Helpful",Sun Oct 27 2019 15:20:28 GMT-0600 (Mountain Daylight Time),,"Charlotte, NC",Current Employee ,Operations Analyst,5.0,5.0,4.0,5.0,4.0,4.0
"Oct 27, 2019
""I don't mind coming back :)""
Former Employee - Anonymous Employee in San Jose, CA
Recommends
Positive Outlook
Approves of CEO
I worked at Wells Fargo part-time for more than a year
Pros
-Lots of room to grow; it's possible to be promoted from teller to banker within 4-6 months. 
-Great team environment. Teammates reach out to you almost all the time, so communication and problem solving was always smooth. 

Honestly, it really depends on which branch you're working at or who you're working with. I was lucky to be working with a great team, because I've seen other branches where it things were...
Show More
Cons
- I can't think of any :)
Helpful",Sun Oct 27 2019 19:04:26 GMT-0600 (Mountain Daylight Time),,"San Jose, CA",Former Employee ,I don't mind coming back :),5.0,5.0,5.0,5.0,5.0,5.0
"Oct 28, 2019
""for the one who sits a long time and dont mind""
Former Employee - Anonymous Employee in Birmingham, AL
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Wells Fargo full-time for more than 3 years
Pros
good hours and pay was awesome
Cons
well the culture and all the lawsuits made it interesting
Advice to Management
be understanding to your team
Helpful",Mon Oct 28 2019 10:56:27 GMT-0600 (Mountain Daylight Time),,"Birmingham, AL",Former Employee ,for the one who sits a long time and dont mind,4.0,2.0,1.0,4.0,4.0,2.0
"Oct 27, 2019
""Good people, good company.""
Current Employee - Anonymous Employee in Billings, MT
Recommends
Positive Outlook
No opinion of CEO
I have been working at Wells Fargo full-time for more than 5 years
Pros
This company has treated me well and over 6 years has become my work family.
Decent benefits, good environment, overall amazing vision and values that the majority of us employees honor and hold as well. (There will always be some who don’t in every company)
A company that truly strives to improve.
Good training for operation jobs ( CSR)
Cons
Stress from being in media for negative reasons.
Lack of communication around some changes, seen an improvement over last 2 years however.
Advice to Management
Keep working to support employees. Be open to our ideas as we are already here and wanting to be with the company.
Helpful",Sun Oct 27 2019 04:15:28 GMT-0600 (Mountain Daylight Time),,"Billings, MT",Current Employee ,"Good people, good company.",5.0,4.0,5.0,5.0,4.0,4.0
"Oct 26, 2019
""Personal Banker""
Current Employee - Anonymous Employee in Paterson, NJ
I have been working at Wells Fargo full-time for more than a year
Pros
Great leadership and good pay
Cons
No cons that I can find.
Helpful",Sat Oct 26 2019 07:08:58 GMT-0600 (Mountain Daylight Time),,"Paterson, NJ",Current Employee ,Personal Banker,5.0,5.0,5.0,5.0,5.0,5.0
"Oct 26, 2019
""Accounting""
Former Employee - Anonymous Employee in Tempe, AZ
Recommends
Positive Outlook
Disapproves of CEO
I worked at Wells Fargo full-time for more than 3 years
Pros
- Flexible
- Supportive about career paths
- Great Benefits
- Low Supervision
Cons
- Sales, always having to pitch a sale if not in Accounting
Advice to Management
- Stop forcing sales on employees
Helpful",Sat Oct 26 2019 10:35:02 GMT-0600 (Mountain Daylight Time),,"Tempe, AZ",Former Employee ,Accounting,4.0,4.0,4.0,5.0,5.0,4.0
"Oct 24, 2019
""Great Company""
Current Employee - Personal Banker 
I have been working at Wells Fargo full-time for more than a year
Pros
Paternity Leave
Education Reimbursement
Military Benefits
401K matching
Cons
No cons. Have enjoyed working here and plan to make a career out of it.
Helpful",Thu Oct 24 2019 16:56:10 GMT-0600 (Mountain Daylight Time), Personal Banker,,Current Employee ,Great Company,5.0,,,,,
"Oct 25, 2019
""Your chance for a career""
Current Employee - Anonymous Employee in Rutherfordton, NC
Recommends
Positive Outlook
No opinion of CEO
I have been working at Wells Fargo full-time for more than 3 years
Pros
Many opportunities to advance in the company and district management keeps you informed.
Cons
Smaller branches doesn’t seem to move around with positions so if your in an area that’s like a larger city there would be more opportunity.
Helpful",Fri Oct 25 2019 09:36:33 GMT-0600 (Mountain Daylight Time),,"Rutherfordton, NC",Current Employee ,Your chance for a career,4.0,5.0,5.0,4.0,5.0,4.0
"Oct 24, 2019
""Great benefits, people, culture and salary.""
Former Employee - Research/Remediation Analyst 
I worked at Wells Fargo full-time
Pros
Amazing coworkers, great atmosphere, immense room for development.
Cons
Lack of communication with upper-management with the entry level employees.
Helpful",Thu Oct 24 2019 10:50:21 GMT-0600 (Mountain Daylight Time), Research/Remediation Analyst,,Former Employee ,"Great benefits, people, culture and salary.",5.0,5.0,5.0,5.0,5.0,3.0
"Oct 16, 2019
Helpful (2)
""Business Systems Analyst migrating metadata from II div to new cloud based platform called EAP.""
 Recommends
Positive Outlook
Approves of CEO
I worked at Wells Fargo
Pros
Great environment and culture! One of the best companies to work for!
Cons
Processes are rather streamlined. But taking the initiative and asking your manager for more training/work will yield exciting new opps!
Advice to Management
Make sure you are open to feedback from everyone.
Helpful (2)",Wed Oct 16 2019 11:34:51 GMT-0600 (Mountain Daylight Time),,, ,Business Systems Analyst migrating metadata from II div to new cloud based platform called EAP.,5.0,4.0,5.0,5.0,5.0,4.0
"Oct 23, 2019
""Great Company""
Current Employee - Branch Manager in San Diego, CA
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 5 years
Pros
benefits, time off, career advancement
Cons
inconsistency in leadership messaging
Helpful",Wed Oct 23 2019 12:00:19 GMT-0600 (Mountain Daylight Time), Branch Manager,"San Diego, CA",Current Employee ,Great Company,4.0,4.0,3.0,4.0,4.0,2.0
"Oct 23, 2019
""Good benefits, easy hours""
Current Employee - Lead Teller in Dallas, TX
Recommends
Positive Outlook
No opinion of CEO
I have been working at Wells Fargo full-time for more than a year
Pros
Nice benefits, easy hours.
Cons
pays less than other banks, professional behavior varies depending on the branch manager
Advice to Management
Be more uniform in managing branches.
Helpful",Wed Oct 23 2019 15:18:51 GMT-0600 (Mountain Daylight Time), Lead Teller,"Dallas, TX",Current Employee ,"Good benefits, easy hours",4.0,5.0,5.0,3.0,4.0,3.0
"Oct 24, 2019
""Good place to work, growth is dependent upon favoritism""
Former Employee - Teller 
Recommends
Positive Outlook
No opinion of CEO
I worked at Wells Fargo full-time for more than a year
Pros
decent pay, great PTO, diverse
Cons
i've witnessed favoritism at several branches
Advice to Management
Give deserving people the opportunity to advance and not people who you want to promote.
Helpful",Thu Oct 24 2019 07:46:43 GMT-0600 (Mountain Daylight Time), Teller,,Former Employee ,"Good place to work, growth is dependent upon favoritism",4.0,4.0,4.0,3.0,4.0,2.0
"Oct 24, 2019
""Great Company""
Current Employee - Licensed Personal Banker 
I have been working at Wells Fargo full-time for more than 8 years
Pros
Great benefits, decent pay, and work life balance.
Cons
Not enough growth opportunities
Advice to Management
Stop taking jobs overseas
Helpful",Thu Oct 24 2019 09:36:19 GMT-0600 (Mountain Daylight Time), Licensed Personal Banker,,Current Employee ,Great Company,4.0,5.0,,,,
"Oct 22, 2019
""Need more hours""
Current Employee - Bank Teller in Hinesville, GA
Recommends
Neutral Outlook
Approves of CEO
I have been working at Wells Fargo part-time for more than a year
Pros
Good company to work for, have to screw up bad to be let go. Good chance for lateral moves.
Cons
Minimal full time teller positions and you have to reapply to get 1
Advice to Management
Increase part time hours.
Helpful",Tue Oct 22 2019 15:41:46 GMT-0600 (Mountain Daylight Time), Bank Teller,"Hinesville, GA",Current Employee ,Need more hours,4.0,5.0,5.0,4.0,5.0,5.0
"Oct 22, 2019
""Good company to work for""
Current Employee - Every Day Banker in Boise, ID
Recommends
Positive Outlook
I have been working at Wells Fargo full-time for more than 3 years
Pros
Great payed time off offered
Cons
To be able to meet goals with metricd
Advice to Management
To be more vested in the employee growth
Helpful",Tue Oct 22 2019 17:36:20 GMT-0600 (Mountain Daylight Time), Every Day Banker,"Boise, ID",Current Employee ,Good company to work for,4.0,4.0,3.0,3.0,5.0,3.0
"Oct 21, 2019
""Great""
Former Employee - Technology Manager 
I worked at Wells Fargo full-time
Pros
Great culture. Good people.. fun
Cons
Nothing bad in specific. No cons
Helpful",Mon Oct 21 2019 18:26:44 GMT-0600 (Mountain Daylight Time), Technology Manager,,Former Employee ,Great,5.0,,,,,
"Oct 15, 2019
Helpful (2)
""Great company, great job!""
Current Employee - Mortgage Loan Processor 
Recommends
Approves of CEO
I have been working at Wells Fargo full-time
Pros
Everything. It sounds “too good to be true” but you aren’t micro managed and you work at your own pace. The managers are all great and willing to help if needed!
Cons
Pipeline management- it can get stressful but you will learn how to manage it
Helpful (2)",Tue Oct 15 2019 08:30:08 GMT-0600 (Mountain Daylight Time), Mortgage Loan Processor,,Current Employee ,"Great company, great job!",5.0,5.0,5.0,5.0,5.0,
"Oct 21, 2019
""Decent work environment""
Current Employee - Real Estate Asset Manager in New York, NY
I have been working at Wells Fargo full-time for more than 3 years
Pros
-Good work/life balance
-Comparable pay
-Wide variety of training and career education opportunities
-Decent amount of PTO
-Work from home available, depending on department/role guidelines
Cons
-Health insurance is not good
Advice to Management
Affordable health insurance is much needed. Most employees cannot afford it as it is now.
Helpful",Mon Oct 21 2019 16:16:00 GMT-0600 (Mountain Daylight Time), Real Estate Asset Manager,"New York, NY",Current Employee ,Decent work environment,4.0,5.0,4.0,4.0,3.0,4.0
"Oct 22, 2019
""Good uneducated job""
Current Employee - Bank Teller 
I have been working at Wells Fargo part-time
Pros
Good benefits and reasonable pay for a job the requires no education with optional part time positions
Cons
Have to deal with angry customers and can be a little stressful sometimes
Helpful",Tue Oct 22 2019 07:38:55 GMT-0600 (Mountain Daylight Time), Bank Teller,,Current Employee ,Good uneducated job,4.0,,,,,
"Oct 22, 2019
""Great Benefits""
Current Employee - Teller 
I have been working at Wells Fargo part-time
Pros
Great benefits, good pay, good team
Cons
They emphasize a lot on referrals to bankers
Helpful",Tue Oct 22 2019 10:27:09 GMT-0600 (Mountain Daylight Time), Teller,,Current Employee ,Great Benefits,4.0,4.0,4.0,5.0,5.0,2.0
"Oct 20, 2019
""good""
Former Employee - Vice President Senior Business Leader in San Francisco, CA
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at Wells Fargo full-time for more than a year
Pros
this is a good place to work
Cons
there are no good process
Helpful",Sun Oct 20 2019 17:06:42 GMT-0600 (Mountain Daylight Time), Vice President Senior Business Leader,"San Francisco, CA",Former Employee ,good,4.0,4.0,4.0,4.0,4.0,4.0
"Oct 21, 2019
""Lead teller review""
Current Employee - Lead Teller in Charleston, SC
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than a year
Pros
Flexible with schedules. Opportunities galore.
Cons
Favoritism can be shown by management
Helpful",Mon Oct 21 2019 04:27:34 GMT-0600 (Mountain Daylight Time), Lead Teller,"Charleston, SC",Current Employee ,Lead teller review,4.0,4.0,5.0,5.0,3.0,3.0
"Oct 19, 2019
""Great place to work""
Current Employee - Personal Banker in Tampa, FL
Recommends
Positive Outlook
I have been working at Wells Fargo full-time for more than a year
Pros
The benefits are amazing and I work with a lot of really wonderful people my favorite thing about the company is how involved in the community they are there is a lot of community give back and its very diverse.
Cons
sometimes you can't please your customers and you have to do everything you can and still sometimes people leave unhappy.
Advice to Management
coach your employees but also don't forget to encourage them as well it is just as important to tell people what they are doing right as it is to coach them on what they can work on.
Helpful",Sat Oct 19 2019 16:12:36 GMT-0600 (Mountain Daylight Time), Personal Banker,"Tampa, FL",Current Employee ,Great place to work,5.0,5.0,5.0,5.0,5.0,4.0
"Oct 19, 2019
""Opportunity for growth""
Current Employee - Program Manager in Corona, CA
Recommends
Neutral Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 10 years
Pros
Pay, promotions, team work, support
Cons
Ever changing environment, job security
Advice to Management
Continue to work on transparency with the company
Helpful",Sat Oct 19 2019 13:08:25 GMT-0600 (Mountain Daylight Time), Program Manager,"Corona, CA",Current Employee ,Opportunity for growth,4.0,4.0,4.0,4.0,3.0,3.0
"Oct 19, 2019
""Contract vs FTE""
Current Employee - Business Analyst 
I have been working at Wells Fargo full-time
Pros
Great environment to work in.
Cons
Lots of contractors not as many FTE
Helpful",Sat Oct 19 2019 13:59:40 GMT-0600 (Mountain Daylight Time), Business Analyst,,Current Employee ,Contract vs FTE,4.0,,,,,
"Oct 16, 2019
Helpful (1)
""Great Company""
Current Employee - Credit Portfolio Consultant in West Des Moines, IA
Recommends
Neutral Outlook
No opinion of CEO
I have been working at Wells Fargo full-time for more than 8 years
Pros
Great Benefits
Great PTO 
Good Salary
Cons
Massive company and can get lost
Poor strategy for yearly performance
Advice to Management
Put together better plans for employee performance reviews. They currently change annually and are delivered to the employee late in the year.
Helpful (1)",Wed Oct 16 2019 11:29:03 GMT-0600 (Mountain Daylight Time), Credit Portfolio Consultant,"West Des Moines, IA",Current Employee ,Great Company,4.0,3.0,3.0,4.0,4.0,3.0
"Oct 17, 2019
""Change for the better""
Former Employee - Product Manager in San Francisco, CA
Recommends
Positive Outlook
Disapproves of CEO
I worked at Wells Fargo full-time for more than 10 years
Pros
Stable work environment, work-life balance, most of the job is easy-paced and predictable. Offices in convenient urban areas. Diversity. Inclusivity.
Cons
More recently, obsessively focussed on risk and compliance. If you are one of those people who loves checks and balances, saying ""wait a minute"" to every business decision and a certain level of bureaucratic nonsense in all levels of operational activity, Wells is the place for you. If you are set out to change the world of banking, look elsewhere.
Advice to Management
Promote from within. And leave if you know you have no talent and little to offer.
Helpful",Thu Oct 17 2019 14:20:24 GMT-0600 (Mountain Daylight Time), Product Manager,"San Francisco, CA",Former Employee ,Change for the better,4.0,5.0,2.0,3.0,4.0,4.0
"Oct 17, 2019
""good""
Current Employee - Bank Teller 
I have been working at Wells Fargo part-time
Pros
no daily goals
bonuses
partial benefits for part timers
Cons
company tries to save money in many places uneeded
stressful
Helpful",Thu Oct 17 2019 19:32:25 GMT-0600 (Mountain Daylight Time), Bank Teller,,Current Employee ,good,4.0,4.0,4.0,4.0,5.0,4.0
"Oct 16, 2019
""Decent job with decent pay-Sit a lot and stare at computer screens""
Former Employee - Financial Crimes Consultant in Charlotte, NC
I worked at Wells Fargo full-time for less than a year
Pros
Solid corporate job with job security
Cons
Cubicle, sitting a lot, stare at computer screens all day, don't feel the position makes a meaningful impact on fighting crime/fraud
Helpful",Wed Oct 16 2019 21:15:59 GMT-0600 (Mountain Daylight Time), Financial Crimes Consultant,"Charlotte, NC",Former Employee ,Decent job with decent pay-Sit a lot and stare at computer screens,5.0,,,,,
"Oct 31, 2019
""Employee review""
Former Employee - Analyst in Houston, TX
Doesn't Recommend
Neutral Outlook
I worked at Wells Fargo full-time for more than a year
Pros
Team dinners, team outings, etc
Cons
part of the economic down fall in 2008 with sub prime lending
Advice to Management
listen to your employee's concerns
Helpful",Thu Oct 31 2019 13:39:10 GMT-0600 (Mountain Daylight Time), Analyst,"Houston, TX",Former Employee ,Employee review,2.0,4.0,2.0,4.0,4.0,4.0
"Oct 17, 2019
""Good experience""
Current Employee - Inbound Sales 
I have been working at Wells Fargo full-time
Pros
work/life balance, company culture, management, benefits
Cons
room for advancement and/or job growth
Helpful",Thu Oct 17 2019 07:15:39 GMT-0600 (Mountain Daylight Time), Inbound Sales,,Current Employee ,Good experience,4.0,,,,,
"Oct 17, 2019
""Work environment""
Former Employee - Personal Banker 
I worked at Wells Fargo full-time
Pros
Excellent work environment & great hours
Cons
There really is no Cons
Helpful",Thu Oct 17 2019 10:35:08 GMT-0600 (Mountain Daylight Time), Personal Banker,,Former Employee ,Work environment,4.0,5.0,4.0,4.0,5.0,5.0
"Oct 15, 2019
""Amazing Experience!!""
Former Employee - CSSR in Sunrise, FL
Recommends
Neutral Outlook
No opinion of CEO
I worked at Wells Fargo full-time for more than a year
Pros
- Good benefits
- Competitive pay
- Their main focus is customer service (not sales)
Cons
- Micromanaging can be stressful
Helpful",Tue Oct 15 2019 11:51:52 GMT-0600 (Mountain Daylight Time), CSSR,"Sunrise, FL",Former Employee ,Amazing Experience!!,5.0,5.0,5.0,5.0,5.0,4.0
"Oct 15, 2019
""Great Benefits""
Current Employee - Branch Manager in Houston, TX
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for more than 5 years
Pros
Major growth opportunities for advancement
Cons
Lacks of equality Among their employees
Advice to Management
Ok
Helpful",Tue Oct 15 2019 13:10:26 GMT-0600 (Mountain Daylight Time), Branch Manager,"Houston, TX",Current Employee ,Great Benefits,5.0,5.0,3.0,4.0,5.0,5.0
